epoch,train_loss,dev_loss,dev_top1,dev_top3,validation_top1_logged_only,validation_top3_logged_only,scale,bias
1,0.5061436317761739,0.33804722142219545,0.568,0.67,0.5666666666666667,0.6333333333333333,9.923407554626465,-5.073587894439697
2,0.2741109480857849,0.23987539577484132,0.646,0.752,0.6,0.7,9.884344100952148,-5.11896276473999
3,0.19431108951568604,0.2283257826566696,0.658,0.74,0.6,0.6666666666666666,9.85926628112793,-5.157288074493408
4,0.1468184034427007,0.18398568371931712,0.672,0.772,0.5,0.5666666666666667,9.84861946105957,-5.185030460357666
5,0.1300561729669571,0.16835909310976666,0.7,0.82,0.5333333333333333,0.6,9.844770431518555,-5.209061145782471
6,0.09586186287800472,0.15548333168029785,0.708,0.794,0.5,0.6,9.855151176452637,-5.221334934234619
7,0.07788256686925889,0.16627726074059804,0.71,0.796,0.5333333333333333,0.6,9.872258186340332,-5.230716705322266
8,0.06318512097994486,0.14650417657693227,0.696,0.79,0.5333333333333333,0.5666666666666667,9.89383602142334,-5.237993240356445
9,0.059447578012943265,0.13695101980368296,0.716,0.796,0.5,0.6,9.919431686401367,-5.242860794067383
10,0.05306985900799433,0.1328796941836675,0.738,0.816,0.5,0.6,9.947869300842285,-5.244609355926514
11,0.052847784012556076,0.1282037217617035,0.726,0.83,0.43333333333333335,0.5333333333333333,9.977337837219238,-5.247567653656006
12,0.04147648762663205,0.12860295454661053,0.718,0.814,0.5,0.6,10.010130882263184,-5.246859550476074
13,0.036777947227160136,0.13786993698279063,0.716,0.808,0.4666666666666667,0.6,10.0462646484375,-5.243099212646484
